d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
29000,Tuxtla Gutiérrez Centro,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,1,Urbano,4,
29000,El Magueyito,Barrio,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,2,101,2377,Urbano,4,
29000,San Jacinto,Barrio,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,2,101,2378,Urbano,4,
29000,Guadalupe,Barrio,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,2,101,2812,Urbano,4,
29000,Santo Domingo,Barrio,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,2,101,5735,Urbano,4,
29007,Delegación de La Secretaria de Salud,Gran usuario,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,22,101,7,Urbano,4,
29008,Delegación de La Secretaria de Educación Publica,Gran usuario,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,22,101,8,Urbano,4,
29009,Palacio de Gobierno del Estado de Chiapas,Gran usuario,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,22,101,9,Urbano,4,
29010,Unidad Administrativa,Equipamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,17,101,6,Urbano,4,
29010,Albania Alta,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,10,Urbano,4,
29010,Albania Baja,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,11,Urbano,4,
29010,Burócrata,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,13,Urbano,4,
29010,El Valle,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,14,Urbano,4,
29010,Las Delicias,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,15,Urbano,4,
29010,Lomas del Valle,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,16,Urbano,4,
29010,Los Manguitos,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,17,Urbano,4,
29010,Magisterio 2000,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,21,101,18,Urbano,4,
29010,Nueva Reforma,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,19,Urbano,4,
29010,Renovación,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,20,Urbano,4,
29010,Villa San Marcos,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,21,101,21,Urbano,4,
29010,Maya,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,2375,Urbano,4,
29010,Huajitlan,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,2376,Urbano,4,
29010,Nueva Estrella,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,2381,Urbano,4,
29010,San Fernando,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,2382,Urbano,4,
29010,Amarantos,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,21,101,2567,Urbano,4,
29010,Estrella de Oriente,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,2807,Urbano,4,
29010,La Victoria,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,2820,Urbano,4,
29010,Morelos,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,2836,Urbano,4,
29010,Nueva Delicias,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,3582,Urbano,4,
29010,Agua Azul,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,3583,Urbano,4,
29010,Misol-ha,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,3589,Urbano,4,
29014,Canteras,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,22,Urbano,4,
29014,Loma Real,Conjunto habitacional,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,12,101,23,Urbano,4,
29014,Pedregal San Antonio,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,24,Urbano,4,
29014,Ampliación Pomarrosa,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,25,Urbano,4,
29014,Valle Dorado,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,21,101,149,Urbano,4,
29014,Las Canteras,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,21,101,2797,Urbano,4,
29014,Rosario Poniente,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,2854,Urbano,4,
29014,México,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,3239,Urbano,4,
29014,Villareal,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,21,101,3240,Urbano,4,
29014,Pomarrosa,Ampliación,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,38,101,3241,Urbano,4,
29014,Jardines de las Flores,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,21,101,3242,Urbano,4,
29014,Santa Clara,Fraccionamiento,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,21,101,5510,Urbano,4,
29016,Adonahi,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,26,Urbano,4,
29016,Linda Vista Shanka,Colonia,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29002,7,29002,9,101,2383,Urbano,4,
