d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
31000,Zona Centro,Colonia,Chihuahua,Chihuahua,Chihuahua,31001,08,31001,09,019,2249,Urbano,02,
31000,San Pedro,Barrio,Chihuahua,Chihuahua,Chihuahua,31001,08,31001,02,019,2250,Urbano,02,
31000,Sector Bol�var,Colonia,Chihuahua,Chihuahua,Chihuahua,31001,08,31001,09,019,2252,Urbano,02,
31000,Parque Rotario,Colonia,Chihuahua,Chihuahua,Chihuahua,31001,08,31001,09,019,2253,Urbano,02,
31000,Colon,Colonia,Chihuahua,Chihuahua,Chihuahua,31001,08,31001,09,019,2254,Urbano,02,
31000,El Bajo,Barrio,Chihuahua,Chihuahua,Chihuahua,31001,08,31001,02,019,2255,Urbano,02,
31000,San Pedro,Barrio,Chihuahua,Chihuahua,Chihuahua,31001,08,31001,02,019,4070,Urbano,02,
31020,Santa Rita,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2271,Urbano,02,
31020,Cuauht�moc,Unidad habitacional,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,31,019,2272,Urbano,02,
31020,Zarco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,21,019,2279,Urbano,02,
31020,Inal�mbrica,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2281,Urbano,02,
31020,Sector Salud,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2283,Urbano,02,
31020,Cuarteles,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2358,Urbano,02,
31020,Residencial Zarco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,21,019,2360,Urbano,02,
31020,Herradura Pdu,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2363,Urbano,02,
31020,Linss,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2364,Urbano,02,
31020,Rubio,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2365,Urbano,02,
31020,Las Huertas,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,3858,Urbano,02,
31029,Quinta Zona Militar,Equipamiento,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,17,019,0010,Urbano,02,
31030,Pacifico,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2448,Urbano,02,
31030,Francisco I. Madero,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2452,Urbano,02,
31030,Rosario,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2466,Urbano,02,
31034,Gustavo Diaz Ordaz,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2619,Urbano,02,
31034,Francisco R Almada,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,21,019,2620,Urbano,02,
31034,Reforma,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2621,Urbano,02,
31034,Ampliaci�n Reforma,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2622,Urbano,02,
31034,Ferrocarrilera,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2623,Urbano,02,
31034,Ampliaci�n Gustavo D�az Ordaz,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,3854,Urbano,02,
31050,Santa Rosa,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2416,Urbano,02,
31050,Pablo Amaya Norte,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2417,Urbano,02,
31050,Rincones de Santa Rosa,Unidad habitacional,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,31,019,2420,Urbano,02,
31050,Pablo Amaya Sur,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2422,Urbano,02,
31050,Bellavista,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2430,Urbano,02,
31050,Melchor Ocampo,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2431,Urbano,02,
31050,Dale,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2460,Urbano,02,
31054,Cerro Grande,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2597,Urbano,02,
31054,Las Vencedoras,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2598,Urbano,02,
31054,Villas del Sur,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,21,019,2599,Urbano,02,
31054,Loma Alta,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2600,Urbano,02,
31054,San Agust�n,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2601,Urbano,02,
31054,San Jorge,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2602,Urbano,02,
31054,San L�zaro,Colonia,Chihuahua,Chihuahua,Chihuahua,31052,08,31052,09,019,2603,Urbano,02,
