d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
25000,Saltillo Centro,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,1,Urbano,8,
25008,Palacio de Gobierno del Estado de Coahuila,Gran usuario,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,22,30,5,Urbano,8,
25010,Vista Hermosa,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,9,Urbano,8,
25010,La Fuente,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,1842,Urbano,8,
25010,Privada La Misión,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,2400,Urbano,8,
25010,Privada La Campana,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,2401,Urbano,8,
25010,Balcones de Morelos,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,2697,Urbano,8,
25010,Nuevo Saltillo,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,2830,Urbano,8,
25010,Privada de San Javier,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,2832,Urbano,8,
25010,Solidaridad,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,2877,Urbano,8,
25010,Parajes de La Sierra,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,2906,Urbano,8,
25013,15 de Septiembre,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,11,Urbano,8,
25013,Villa Morelos,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,51,Urbano,8,
25013,Milenio,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,354,Urbano,8,
25013,El Monte del Sinaí,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,377,Urbano,8,
25013,Cordillera,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,439,Urbano,8,
25013,Ampliación Morelos,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,1844,Urbano,8,
25013,Amistad,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,1845,Urbano,8,
25013,Morelos Nueva Creación,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,2578,Urbano,8,
25013,Valle de Morelos,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,2864,Urbano,8,
25013,Parque Industrial Amistad,Zona industrial,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,37,30,3198,Urbano,8,
25013,Privada Morelos,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,3222,Urbano,8,
25013,Colibrí,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,3269,Urbano,8,
25014,10 de Abril,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,13,Urbano,8,
25014,San Pedro de los Pinos,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,14,Urbano,8,
25014,Cecilia Ocelli de Salinas,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,2402,Urbano,8,
25015,Fundadores,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,15,Urbano,8,
25015,El Pedregal,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,21,30,378,Urbano,8,
25015,Fuentes del Pedregal,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,380,Urbano,8,
25015,Edgar Puente,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,5,25001,9,30,424,Urbano,8,
