d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
28000,Colima Centro,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0001,Urbano,01,
28010,Lomas de Circunvalaci�n,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0014,Urbano,01,
28010,Militar Lomas,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0034,Urbano,01,
28014,Jardines de las Lomas,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0017,Urbano,01,
28016,Lomas Vistahermosa,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0019,Urbano,01,
28017,Bugambilias,Condominio,Colima,Colima,Colima,28001,06,28001,10,002,0020,Urbano,01,
28017,Colinas de Santa B�rbara,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0021,Urbano,01,
28017,Jardines Vista Hermosa,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0022,Urbano,01,
28017,Las Palmas,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0023,Urbano,01,
28017,Lomas Verdes,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0024,Urbano,01,
28017,Parque Royal,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0025,Urbano,01,
28017,Residencial Santa B�rbara,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0026,Urbano,01,
28017,Lomas del Valle,Fraccionamiento,Colima,Colima,Colima,28001,06,28001,21,002,0096,Urbano,01,
28017,Residencial Valle Verde,Fraccionamiento,Colima,Colima,Colima,28001,06,28001,21,002,0101,Urbano,01,
28017,Rinc�n del Colibr�,Fraccionamiento,Colima,Colima,Colima,28001,06,28001,21,002,0103,Urbano,01,
28017,Residencial Puerta del Sol,Fraccionamiento,Colima,Colima,Colima,28001,06,28001,21,002,0651,Urbano,01,
28017,Residencial Esmeralda,Fraccionamiento,Colima,Colima,Colima,28001,06,28001,21,002,0652,Urbano,01,
28017,Villanova,Fraccionamiento,Colima,Colima,Colima,28001,06,28001,21,002,0665,Urbano,01,
28017,Privada San Rafael,Fraccionamiento,Colima,Colima,Colima,28001,06,28001,21,002,0729,Urbano,01,
28017,Villas Colinas,Condominio,Colima,Colima,Colima,28001,06,28001,10,002,0738,Urbano,01,
28017,Residencial Esmeralda Norte,Colonia,Colima,Colima,Colima,28001,06,28001,09,002,0739,Urbano,01,
28017,Residencial Los Olivos,Fraccionamiento,Colima,Colima,Colima,28001,06,28001,21,002,0743,Urbano,01,
