d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
34000,Victoria de Durango Centro,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0001,Urbano,01,
34000,Dionisio Gallardo,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0428,Urbano,01,
34000,Luis G�mez Zepeda,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0447,Urbano,01,
34000,Rinconada Mascare�as,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,0457,Urbano,01,
34000,Herrera Leyva,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,2172,Urbano,01,
34000,Privada del Sahuaro,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,2213,Urbano,01,
34010,H�ctor Mayagoitia Dom�nguez,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0010,Urbano,01,
34010,Jos� L�pez Portillo,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0011,Urbano,01,
34010,Morga,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0012,Urbano,01,
34010,Valent�n G�mez Farias,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1864,Urbano,01,
34010,Minero Napole�n G�mez Sada,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,3661,Urbano,01,
34014,Las Palmas,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0013,Urbano,01,
34014,Juan Salazar,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0438,Urbano,01,
34014,Palma Alta,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0448,Urbano,01,
34014,Paseo de la Pradera,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0449,Urbano,01,
34015,Ampliaci�n H�ctor Mayagoitia Dom�nguez,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0014,Urbano,01,
34015,Ladera del Pedregal,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,3476,Urbano,01,
34016,Ciudad San Isidro,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,0103,Urbano,01,
34016,El Prado,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0432,Urbano,01,
34016,Morelos Norte,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1856,Urbano,01,
34016,Amalia Sol�rzano,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1867,Urbano,01,
34016,Cesar Guillermo Meraz,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1883,Urbano,01,
34017,PRI,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0016,Urbano,01,
34017,Ampliaci�n PRI,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0017,Urbano,01,
34017,Luz y Esperanza,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1855,Urbano,01,
34018,�ngel Tejada Espino,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0018,Urbano,01,
34019,L�zaro C�rdenas,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0019,Urbano,01,
34020,Benjam�n M�ndez,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0020,Urbano,01,
34020,Guadalupe,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0021,Urbano,01,
34020,Rosas del Tepeyac,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0022,Urbano,01,
34020,Cuadra del Ferrocarril,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1849,Urbano,01,
34020,Cerro de Guadalupe,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1869,Urbano,01,
34024,Planta de Impregnaci�n (Ferrocarrilera),Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0023,Urbano,01,
34027,Recuerdos del Pasado,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0024,Urbano,01,
34027,Unidad Guadalupe,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,3407,Urbano,01,
34028,Sergio M�ndez Arceo,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0025,Urbano,01,
34029,Cerro del Mercado,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0026,Urbano,01,
34029,Ampliaci�n Rosas del Tepeyac,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0027,Urbano,01,
34030,16 de Septiembre,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0028,Urbano,01,
34030,Acereros,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,0029,Urbano,01,
34030,San Ignacio,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,0030,Urbano,01,
34030,San Mart�n de Porres,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0031,Urbano,01,
34030,El Cipr�s (Cerro del Mercado),Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0430,Urbano,01,
34030,San Isidro,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1870,Urbano,01,
34038,Las �guilas,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,0033,Urbano,01,
34038,Cielo Vista,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,0078,Urbano,01,
34038,Residencial la Rioja,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,0179,Urbano,01,
34038,Residencial Puerta de Hierro,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,2149,Urbano,01,
34038,Residencial Plaza Alejandra,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,4695,Urbano,01,
34039,La Rielera,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0441,Urbano,01,
34039,Alejandra,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1838,Urbano,01,
34039,Vallesol,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,2137,Urbano,01,
34039,Terrenos del Ferrocarril,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,2223,Urbano,01,
34039,Las Encinas,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0034,Urbano,01,
34040,Villa de Guadalupe,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0037,Urbano,01,
34043,Las Cumbres,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0038,Urbano,01,
34043,Ni�os H�roes,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0039,Urbano,01,
34045,Antonio Ramirez,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0041,Urbano,01,
34045,Parque Sahuatoba,Equipamiento,Durango,Durango,Victoria de Durango,34271,10,34271,17,005,0137,Urbano,01,
34045,Alcaldes,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0279,Urbano,01,
34045,Valle Dorado,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0466,Urbano,01,
34045,El Mirador,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1872,Urbano,01,
34045,Gobernadores,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1873,Urbano,01,
34045,Las Margaritas,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,1874,Urbano,01,
34046,Miguel de La Madrid Hurtado,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0042,Urbano,01,
34046,Legisladores Durangue�os,Fraccionamiento,Durango,Durango,Victoria de Durango,34271,10,34271,21,005,0266,Urbano,01,
34047,Bellavista,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0043,Urbano,01,
34048,Felipe �ngeles,Colonia,Durango,Durango,Victoria de Durango,34271,10,34271,09,005,0044,Urbano,01,
