d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
39000,Chilpancingo de los Bravos Centro,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0001,Urbano,02,
39008,Oficina Federal de Hacienda,Gran usuario,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,22,029,0004,Urbano,02,
39009,Palacio de Gobierno del Estado de Guerrero,Gran usuario,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,22,029,0005,Urbano,02,
39010,Azteca,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0006,Urbano,02,
39010,Benito Ju�rez,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0007,Urbano,02,
39010,Bugambilias,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0008,Urbano,02,
39010,Caminos,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0009,Urbano,02,
39010,El Salado,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0010,Urbano,02,
39010,Electricistas,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0011,Urbano,02,
39010,Francisco Villa,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0012,Urbano,02,
39010,Guadalupe,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0013,Urbano,02,
39010,Haciendita Aeropuerto,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0014,Urbano,02,
39010,Hermenegildo Galeana,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0015,Urbano,02,
39010,La Sierrita,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0016,Urbano,02,
39010,L�zaro C�rdenas,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0017,Urbano,02,
39010,PPS,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0019,Urbano,02,
39010,Santa Fe,Colonia,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39001,12,39001,09,029,0020,Urbano,02,
