El Cat�logo Nacional de C�digos Postales, es elaborado por Correos de M�xico y se proporciona en forma gratuita para uso particular, no estando permitida su comercializaci�n, total o parcial, ni su distribuci�n a terceros bajo ning�n concepto.
d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
42000,Centro,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0001,Urbano,03,
42004,La Granada,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,2258,Urbano,03,
42010,La Alcantarilla,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,02,048,0006,Urbano,03,
42010,El Arbolito,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,02,048,0008,Urbano,03,
42010,El Ator�n,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,02,048,0009,Urbano,03,
42010,La Palma,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,02,048,0013,Urbano,03,
42010,San Juan Pachuca,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0016,Urbano,03,
42014,Nueva Estrella,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0018,Urbano,03,
42015,Asta Bandera,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,02,048,0020,Urbano,03,
42015,El Porvenir,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,02,048,0021,Urbano,03,
42015,La Cruz,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,02,048,0022,Urbano,03,
42018,San Nicol�s,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,02,048,0024,Urbano,03,
42018,Juli�n Carrillo,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,2266,Urbano,03,
42018,La Espa�ita,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,02,048,2268,Urbano,03,
42020,Cuauht�moc,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0026,Urbano,03,
42020,Jos� L�pez Portillo,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0028,Urbano,03,
42020,Pachuca 88,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,0031,Urbano,03,
42020,Real de Medinas,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0032,Urbano,03,
42026,Vista Hermosa,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,0033,Urbano,03,
42026,Prosperidad,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,6136,Urbano,03,
42027,Antonio del Castillo,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0035,Urbano,03,
42027,Pe�a y Pe�a,Barrio,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,02,048,6054,Urbano,03,
42027,Del Castillo,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,6055,Urbano,03,
42029,Uni�n Popular,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0037,Urbano,03,
42030,El Carmen,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,0038,Urbano,03,
42030,Ricardo Flores Mag�n,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0039,Urbano,03,
42030,Javier Rojo G�mez,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0040,Urbano,03,
42030,Venustiano Carranza,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0042,Urbano,03,
42030,El Rosario,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,6068,Urbano,03,
42032,Parque de Poblamiento,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0045,Urbano,03,
42033,Los Cedros,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0046,Urbano,03,
42034,Aquiles Serd�n,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0047,Urbano,03,
42035,Plutarco El�as Calles,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0050,Urbano,03,
42036,Nuevo Hidalgo,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,0051,Urbano,03,
42037,Cereso de Pachuca,Equipamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,17,048,0052,Urbano,03,
42039,Mariano Otero,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,2264,Urbano,03,
42039,Campo de Tiro II,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,2265,Urbano,03,
42039,Colosio II,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,2341,Urbano,03,
42039,Monte Carmelo,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,2347,Urbano,03,
42039,Nuevo San Bartolo,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,2349,Urbano,03,
42039,Miguel Ramos Arizpe,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,2351,Urbano,03,
42039,15 de Septiembre,Colonia,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,09,048,2356,Urbano,03,
42039,Punta Azul,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,2358,Urbano,03,
42039,Rinconada San Antonio,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,2360,Urbano,03,
42039,Rinc�n de las Lomas I,Fraccionamiento,Pachuca de Soto,Hidalgo,Pachuca de Soto,42001,13,42001,21,048,2361,Urbano,03,
