d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
44100,Guadalajara Centro,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,09,039,0003,Urbano,03,
44110,Vallarta Poniente,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,44101,14,44101,21,039,0005,Urbano,03,
44130,Arcos Vallarta,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,09,039,0007,Urbano,03,
44130,Arcos,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,44101,14,44101,21,039,0200,Urbano,03,
44140,Obrera Centro,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,09,039,0008,Urbano,03,
44150,Barrera,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,09,039,0010,Urbano,03,
44150,Lafayette,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,09,039,4188,Urbano,03,
44158,Deitz,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,09,039,0011,Urbano,03,
44160,Americana,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,09,039,0013,Urbano,03,
44170,San Antonio,Barrio,Guadalajara,Jalisco,Guadalajara,44101,14,44101,02,039,0014,Urbano,03,
44180,Mexicaltzingo,Barrio,Guadalajara,Jalisco,Guadalajara,44101,14,44101,02,039,0016,Urbano,03,
44190,Moderna,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,09,039,0017,Urbano,03,
44200,Artesanos,Colonia,Guadalajara,Jalisco,Guadalajara,44101,14,44101,09,039,0019,Urbano,03,
44200,El Santuario,Barrio,Guadalajara,Jalisco,Guadalajara,44101,14,44101,02,039,0020,Urbano,03,
44200,Capilla de Jes�s,Barrio,Guadalajara,Jalisco,Guadalajara,44101,14,44101,02,039,0021,Urbano,03,
44200,Sagrada Familia,Barrio,Guadalajara,Jalisco,Guadalajara,44101,14,44101,02,039,0023,Urbano,03,
44210,Jardines del Country,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,44291,14,44291,21,039,0024,Urbano,03,
44210,Jardines del Country 2a. Secci�n,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,44291,14,44291,21,039,4943,Urbano,03,
44214,Universidad,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,44291,14,44291,31,039,0026,Urbano,03,
44215,Par�an,Condominio,Guadalajara,Jalisco,Guadalajara,44291,14,44291,10,039,0028,Urbano,03,
