El Cat�logo Nacional de C�digos Postales, es elaborado por Correos de M�xico y se proporciona en forma gratuita para uso particular, no estando permitida su comercializaci�n, total o parcial, ni su distribuci�n a terceros bajo ning�n concepto.
d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
63000,Tepic Centro,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0001,Urbano,02,
63009,Centro SCT Nayarit,Gran usuario,Tepic,Nayarit,Tepic,63001,18,63001,22,017,0004,Urbano,02,
63010,Amado Nervo,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0005,Urbano,02,
63010,Amado Nervo,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0006,Urbano,02,
63010,Paseo de La Constituci�n,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0007,Urbano,02,
63010,Sacrist�n,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0008,Urbano,02,
63018,El Punto,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0009,Urbano,02,
63019,Francisco Villa,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0010,Urbano,02,
63019,Loma Hermosa,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,1061,Urbano,02,
63020,Santa Teresita,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0011,Urbano,02,
63020,Unidad Deportiva Santa Teresita,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0012,Urbano,02,
63021,Adolfo L�pez Mateos,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0013,Urbano,02,
63022,INDECO,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0014,Urbano,02,
63023,Ojo de Agua,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0015,Urbano,02,
