d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
72000,Centro,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0001,Urbano,03,
72000,San Francisco,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,2819,Urbano,03,
72010,Santa Mar�a la Rivera,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0011,Urbano,03,
72010,INFONAVIT Bosques 5 de Febrero,Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,31,114,0524,Urbano,03,
72010,Residencial Santa Mar�a,Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,31,114,2861,Urbano,03,
72013,Las Huertas,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0012,Urbano,03,
72013,Santa B�rbara,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0666,Urbano,03,
72014,Rosas del Tepeyac,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0013,Urbano,03,
72014,San Pablo Xochimehuacan,Pueblo,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,28,114,0488,Urbano,03,
72014,Barranca Honda,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0520,Urbano,03,
72014,Benito Ju�rez,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0523,Urbano,03,
72014,Ignacio Mariscal,Ampliaci�n,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,38,114,0572,Urbano,03,
72014,Miravalle,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0620,Urbano,03,
72014,Polideportivo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0634,Urbano,03,
72014,San Jos� los Cerritos,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0661,Urbano,03,
72014,INFONAVIT Fidel Vel�zquez,Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,31,114,2742,Urbano,03,
72014,Guadalupe del Oro,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,2743,Urbano,03,
72014,Nueva 13 de Abril,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,3752,Urbano,03,
72014,El Conde,Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,31,114,5791,Urbano,03,
72014,La Condesa,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,6212,Urbano,03,
72014,El Conde II,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,12,114,6592,Urbano,03,
72015,La Candelaria,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0014,Urbano,03,
72016,Jorge Murad Macluf,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0581,Urbano,03,
72016,Real de Guadalupe,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0641,Urbano,03,
72016,San Jos� el Conde,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0659,Urbano,03,
72016,Villas de Marques,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0683,Urbano,03,
72016,INFONAVIT Villa Frontera,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,2735,Urbano,03,
72016,Solidaridad Nacional,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,2744,Urbano,03,
72016,Seda Monsanto,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,3005,Urbano,03,
72016,Villa Margarita Garcia,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,3561,Urbano,03,
72016,Villa Guadalupe,Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,31,114,3741,Urbano,03,
72016,Monte Alban,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,3753,Urbano,03,
72016,Guadalupe del Conde,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,3759,Urbano,03,
72016,Nuevo Para�so,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,3796,Urbano,03,
72016,Emperatriz,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,12,114,3813,Urbano,03,
72016,Rancho Guadalupe,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,6252,Urbano,03,
72016,Villas San Gregorio,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,6325,Urbano,03,
72017,Villa Para�so,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,0221,Urbano,03,
72017,Nueva San Salvador,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0585,Urbano,03,
72017,M�xico 83,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0615,Urbano,03,
72017,Venustiano Carranza,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0680,Urbano,03,
72017,Nueva Espa�a,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,2747,Urbano,03,
72017,Las Sonatas,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,12,114,3750,Urbano,03,
72017,Villas Diamante,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,3812,Urbano,03,
72017,Portanova,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,5861,Urbano,03,
72017,Villas San Jos�,Conjunto habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,12,114,6613,Urbano,03,
72019,Parque Industrial 5 de Mayo,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0017,Urbano,03,
72019,Central de Abastos,Zona comercial,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,33,114,3539,Urbano,03,
72020,Francisco Villa,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0018,Urbano,03,
72020,Pino Su�rez,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0019,Urbano,03,
72020,San Jos� Cuatro Caminos,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0020,Urbano,03,
72020,El Riego Sur,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0644,Urbano,03,
72020,San Rafael Oriente,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,2748,Urbano,03,
72020,San Jer�nimo,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,6286,Urbano,03,
72020,Villas del Mes�n I,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,6315,Urbano,03,
72020,Villas del Mes�n II,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,6316,Urbano,03,
72023,Zona Cementos Atoyac,Equipamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,17,114,6779,Urbano,03,
72029,San Rafael Poniente,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0021,Urbano,03,
72030,San Felipe Hueyotlipan,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0022,Urbano,03,
72030,Aquiles Serd�n,Unidad habitacional,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,31,114,6470,Urbano,03,
72040,Jes�s Gonz�lez Ort�ga,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0024,Urbano,03,
72040,Rancho Colorado,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0025,Urbano,03,
72040,Valle del �ngel,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0026,Urbano,03,
72040,Sendero del Fresno,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,0153,Urbano,03,
72040,La Pedrera,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,0586,Urbano,03,
72040,Del Valle,Residencial,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,30,114,2862,Urbano,03,
72040,Rinc�n Dorado,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,2863,Urbano,03,
72040,Fuentes la Pradera,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,6171,Urbano,03,
72040,Futura,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,6174,Urbano,03,
72040,Plazuelas San Jos�,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,6247,Urbano,03,
72040,Villas San Felipe,Colonia,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,09,114,6323,Urbano,03,
72044,San Bernardo,Fraccionamiento,Puebla,Puebla,Heroica Puebla de Zaragoza,72091,21,72091,21,114,0650,Urbano,03,
