d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
87000,Ciudad Victoria Centro,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,1,Urbano,11,
87000,Los Fresnos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,2914,Urbano,11,
87010,Enrique Cárdenas González,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,6,Urbano,11,
87010,José López Portillo,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,7,Urbano,11,
87010,Tránsito,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,8,Urbano,11,
87014,El Mirador,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,9,Urbano,11,
87014,Emilio Caballero,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,10,Urbano,11,
87014,General Lucio Blanco,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,11,Urbano,11,
87014,77 Batallón de Infantería,Zona militar,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,47,41,12,Urbano,11,
87014,Alianza de Colonos,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,221,Urbano,11,
87014,Villa María,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,236,Urbano,11,
87014,Zeferino Fajardo Luna,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,239,Urbano,11,
87014,Luis Donaldo Colosio,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,2107,Urbano,11,
87015,Estrella,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,13,Urbano,11,
87015,Las Enfermeras,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3175,Urbano,11,
87015,Privada San Ignacio,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3265,Urbano,11,
87016,Cañón de la Peregrina,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3365,Urbano,11,
87016,Vamos Tamaulipas,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,3404,Urbano,11,
87016,Sierra Vista,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3834,Urbano,11,
87018,Colinas del Valle,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,15,Urbano,11,
87018,Framboyanes,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,16,Urbano,11,
87018,Industrial,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,17,Urbano,11,
87018,Praderas de Victoria,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,19,Urbano,11,
87018,Lomas de Calamaco,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,2906,Urbano,11,
87018,La Libertad II,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,2918,Urbano,11,
87018,Valle Esmeralda,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3209,Urbano,11,
87018,Las Montañas,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3214,Urbano,11,
87018,Colinas de San Roberto,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3274,Urbano,11,
87018,Agua Fría II,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3289,Urbano,11,
87018,Agua Fría I,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3290,Urbano,11,
87019,Burócratas Municipales II,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,20,Urbano,11,
87019,La Libertad,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,22,Urbano,11,
87019,La Presita,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,2917,Urbano,11,
87019,Monte Alto,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,3174,Urbano,11,
87019,Rincón del Valle,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3621,Urbano,11,
87019,Villas del Pedregal,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3763,Urbano,11,
87019,Rincón del Valle Elite,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3857,Urbano,11,
87020,Adolfo López Mateos,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,23,Urbano,11,
87020,Norberto Treviño Zapata,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,25,Urbano,11,
87020,Valle de Aguayo,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,28,Urbano,11,
87020,Valle Escondido,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,29,Urbano,11,
87023,Lázaro Cárdenas,Ejido,Victoria,Tamaulipas,,87001,28,87001,15,41,200,Rural,,
87023,Haciendas del Colibrí,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3272,Urbano,11,
87023,Residencial Campestre Janambres,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3276,Urbano,11,
87023,Puerta de Hierro,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3293,Urbano,11,
87023,Residencial Santa María,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3396,Urbano,11,
87023,San Gabriel,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3397,Urbano,11,
87023,Los Olivos,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,3726,Rural,11,
87023,Lilia Zozaya,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,3926,Urbano,11,
87024,Azteca,Unidad habitacional,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,31,41,30,Urbano,11,
87024,Burócratas Municipales,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,31,Urbano,11,
87024,Doctores,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,32,Urbano,11,
87024,Ignacio Zaragoza,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,33,Urbano,11,
87024,ITACE,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,34,Urbano,11,
87024,Mariano Matamoros,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,35,Urbano,11,
87024,Poza Madre,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,36,Urbano,11,
87024,Revolución Verde,Colonia,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,9,41,37,Urbano,11,
87024,Teocaltiche,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,38,Urbano,11,
87024,UPYSSET,Equipamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,17,41,76,Urbano,11,
87024,Bosque Real,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,80,Urbano,11,
87024,Villa Oriente,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,214,Urbano,11,
87024,Colinas del Bosque,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,223,Urbano,11,
87024,Residencial los Milagros,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,233,Urbano,11,
87024,Granjas Campestre,Fraccionamiento,Victoria,Tamaulipas,Ciudad Victoria,87001,28,87001,21,41,2049,Urbano,11,
