d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
91000,Xalapa Enr�quez Centro,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,0001,Urbano,10,
91008,Oficina Federal de Hacienda,Gran usuario,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,22,087,0004,Urbano,10,
91009,Palacio de Gobierno Del Estado de Veracruz,Gran usuario,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,22,087,0005,Urbano,10,
91010,21 de Marzo,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,0011,Urbano,10,
91010,Del Periodista,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,0025,Urbano,10,
91010,Arroyo Zarco,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,0631,Urbano,10,
91010,18 de Marzo,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,4219,Urbano,10,
91010,Brisas del R�o Sede�o,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,5981,Urbano,10,
91010,Mesa de Guayabo,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,5998,Urbano,10,
91013,Nahuiollin,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,0980,Urbano,10,
91013,El Porvenir I,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,1018,Urbano,10,
91013,El Porvenir II,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,1019,Urbano,10,
91013,Solidaridad,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,1113,Urbano,10,
91013,Insurgentes,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,4225,Urbano,10,
91013,Manantiales,Ampliaci�n,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,38,087,5996,Urbano,10,
91013,Renacimiento,Ampliaci�n,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,38,087,5997,Urbano,10,
91013,Victimas del 6 de Septiembre,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,6003,Urbano,10,
91014,Loma Bonita,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,0184,Urbano,10,
91014,Guadalupe Victoria,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,0822,Urbano,10,
91014,Luz del Barrio,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,0951,Urbano,10,
91014,Lomas de Chapultepec,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,4222,Urbano,10,
91015,El Pocito,Colonia,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enr�quez,91002,30,91002,09,087,0014,Urbano,10,
