d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
98000,Zacatecas Centro,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,1,Urbano,3,
98010,Ramón López Velarde,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,8,Urbano,3,
98015,Mexicapan,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,9,Urbano,3,
98017,Margaritas,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,11,Urbano,3,
98017,Los Filarmónicos,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,17,Urbano,3,
98017,Privada Aziz,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,50,Urbano,3,
98017,Privada Residencial San Pedro,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,1713,Urbano,3,
98018,Garcia Salinas,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,12,Urbano,3,
98019,Pedro Ruiz González INFONAVIT,Unidad habitacional,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,31,56,13,Urbano,3,
98020,Gustavo Diaz Ordaz 1a Secc,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,14,Urbano,3,
98020,Gustavo Diaz Ordaz 2a Secc,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,15,Urbano,3,
98020,Gustavo Diaz Ordaz 3a Secc,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,16,Urbano,3,
98023,Bracho (Lomas de Bracho),Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,1439,Rural,3,
98024,De Olivos,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,1698,Urbano,3,
98024,La Pinta,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,1707,Urbano,3,
98024,Las Mercedes,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,1710,Urbano,3,
98040,Bancomer,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,19,Urbano,3,
98040,Lázaro Cárdenas,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,20,Urbano,3,
98040,Lomas de La Soledad,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,21,Urbano,3,
98040,Loma Barroca,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,1444,Urbano,3,
98045,Caminera,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,22,Urbano,3,
98046,Frente Popular,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,23,Urbano,3,
98046,Luis Donaldo Colosio,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,759,Urbano,3,
98047,Ciudad Argentum,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,35,Urbano,3,
98050,Lomas Del Capulín,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,25,Urbano,3,
98050,Minera,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,27,Urbano,3,
98050,Sierra de Alica,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,28,Urbano,3,
98050,Úrsulo A. García,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,29,Urbano,3,
98053,Cnop,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,31,Urbano,3,
98053,Fernando Pamanes Escobedo,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,32,Urbano,3,
98053,Lomas de La Pimienta,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,33,Urbano,3,
98054,Gral. Felipe Angeles,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,34,Urbano,3,
98054,Miguel Hidalgo 1ra. Sección,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,1426,Urbano,3,
98054,Emiliano Zapata,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,1427,Urbano,3,
98054,Ampliación Gral. Felipe Ángeles,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,1693,Urbano,3,
98054,España,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,1701,Urbano,3,
98054,Ladrilleras,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,1705,Urbano,3,
98054,Miguel Hidalgo 2da. Sección,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,1711,Urbano,3,
98054,Miguel Hidalgo 3ra. Sección,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,21,56,1712,Urbano,3,
98056,Buenos Aires,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,36,Urbano,3,
98056,Las Palmas,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,37,Urbano,3,
98057,Zacatlán,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,2,Urbano,3,
98057,Mecánicos,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,38,Urbano,3,
98057,San Gabriel,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,9,56,49,Urbano,3,
